canonical_code,de,fr,it,description
ABEC,ABEC,ABEC,ABEC,Annular Bearing Engineers Committee
ABMA,ABMA,ABMA,ABMA,American Bearing Manufacturers Association
ADC,ADC,CAN,ADC,Analogue-to-Digital Converter
AGMA,AGMA,AGMA,AGMA,American Gear Manufacturers’ Association
AHRS,AHRS,AHRS,AHRS,Attitude and Heading Reference Systems
AISI,AISI,AISI,AISI,American Iron and Steel Institute
ALE,ALE,ALE,ALE,Atomic Layer Epitaxy
ALU,ALU,UAL,ALU,Arithmetic Logic Unit
ANSI,ANSI,ANSI,ANSI,American National Standards Institute
APP,APP,PCC,APP,Adjusted Peak Performance
APU,APU,GAP,APU,Auxiliary Power Unit
ASTM,ASTM,ASTM,ASTM,American Society for Testing and Materials
ATC,ATC,ATC,ATC,Air Traffic Control
BJT,BJT,BJT,BJT,Bipolar Junction Transistors
BPP,BPP,BPP,BPP,Beam Parameter Product
BSC,BSC,CSB,BSC,Base Station Controller
CAD,CAD,CAO,CAD,Computer-Aided-Design
CAS,CAS,CAS,CAS,Chemical Abstracts Service
CCD,CCD,CCD,CCD,Charge Coupled Device
CDU,CDU,CDU,UCV,Control and Display Unit
CEP,CEP,ECP,CEP,Circular Error Probable
CMM,CMM,CMM,CMM,Coordinate Measuring Machine
CMOS,CMOS,CMOS,CMOS,Complementary Metal Oxide Semiconductor
CNTD,CNTD,CNTD,CNTD,Controlled Nucleation Thermal Deposition
CPLD,CPLD,CPLD,CPLD,Complex Programmable Logic Device
CPU,CPU,UC,CPU,Central Processing Unit
CVD,CVD,CVD,CVD,Chemical Vapour Deposition
CW,CW,GC,CW,Chemical Warfare
CW,CW,CW,CW,Continuous Wave
DAC,DAC,CNA,DAC,Digital-to-Analogue Converter
DANL,DANL,DANL,DANL,Displayed Average Noise Level
DBRN,DBRN,DBRN,DBRN,Data-Base Referenced Navigation
DDS,DDS,DDS,DDS,Direct Digital Synthesizer
DMA,DMA,DMA,DMA,Dynamisch-mechanische Analyse
DME,DME,DME,DME,Distance Measuring Equipment
DMOSFET,DMOSFET,DMOSFET,DMOSFET,Diffused Metal Oxide Semiconductor Field Effect Transistor
DS,DS,SD,DS,Directionally Solidified
EB,EB,AP,EB,Exploding Bridge
EB-PVD,EB-PVD,EB-PVD,EB-PVD,Electron Beam Physical Vapour Deposition
EBW,EBW,FE,EBW,Exploding bridge wire
ECAD,ECAD,CAOE,ECAD,Electronic Computer-Aided Design
ECM,ECM,ECM,ECM,Electro-chemical machining
EDM,EDM,EDM,EDM,Electrical Discharge Machines
EFI,EFI,IFE,EFI,Exploding Foil Initiators
EIRP,EIRP,PIRE,EIRP,Effective Isotropic Radiated Power
EMP,EMP,IEM,EMP,Electromagnetic Pulse
ENOB,ENOB,ENOB,ENOB,Effective Number of Bits
ERF,ERF,ERF,ERF,Electrorheological Finishing
ERP,ERP,PAR,ERP,Effective Radiated Power
ESD,ESD,DES,ESD,Electrostatic Discharge
ETO,ETO,ETO,ETO,Emitter-Turn-Off-Thyristor
ETT,ETT,ETT,ETT,Electrical Triggering Thyristor
EUV,EUV,EUV,EUV,Extreme Ultraviolet
FADEC,FADEC,FADEC,FADEC,Full Authority Digital Engine Control
FFT,FFT,FFT,FFT,Fast Fourier Transform
FPGA,FPGA,FPGA,FPGA,Field Programmable Gate Array
FPIC,FPIC,FPIC,FPIC,Field Programmable Interconnect
